start	end	speaker	text
0.0	2.46		Короче, сразу говорю про деньги.
2.46	10.0		Сколько, точнее, как именно и откуда можно это все оплачивать?
10.0	12.0		Точнее, не так.
13.0	15.5		Как именно ты можешь заработать?
15.5	16.0		Давай вот так.
16.0	18.0		Попрос поставим.
18.0	19.5		Первое.
19.5	26.0		Это прямой запрос агентства на автоматизацию контента.
27.0	28.0		Кто есть?
28.0	30.0		Есть смета.
30.0	32.0		Клиент оплачивает смету.
32.0	39.0		В этой смете есть расходы на дизайнера, расходы на копирайтера, например.
39.0	42.0		Есть такая хуйня собачка.
42.0	45.0		Там расходы на еще какую-нибудь хуйню.
45.0	56.0		И, допустим, расходы на дизайн — это, например, презентация на 40 слайдов.
56.0	57.0		Ну или там, ладно.
57.0	66.0		Презентация, короче, 35 слайдов, плюс маленький сайт, плюс большой сайт, одностраничники — это 60 тысяч рублей.
66.0	70.0		То есть смыслы дали, дизайнеры за 60 тысяч, это сделал.
70.0	73.0		Вопрос в чем?
73.0	83.0		В том, что эти деньги могли как бы не платиться дизайнеру, а платиться, например, тебе часть с клиента,
83.0	88.0		а часть мы бы сэкономили и перевели бы в маржу в агентство.
88.0	89.0		Понял?
89.0	94.0		Или, например, другая часть, допустим, часть каруселек.
94.0	97.0		Надо сделать карусельки, там тоже этот ебучий дизайн есть.
97.0	102.0		И карусельки тоже надо генерировать по какому-то тексту.
102.0	105.0		То есть надо эти карусельки придумывать.
105.0	109.0		А прикинь было бы круто, как мы заранее заготовили какие-то темы.
109.0	117.0		Ну предположим, мы вручную командой по смыслам сделали охуенные, допустим, 10 тем для каруселек.
117.0	125.0		А агент берет эти 10 тем с тезисами и хуярит карусель с дизайном, совсем говном.
125.0	127.0		Одной кнопкой он все это делает.
127.0	135.0		И у нас, по сути, получается карусель, план на каруселе, короче, весь выполнен.
135.0	138.0		Или, допустим, 15 каруселей, 20 каруселей.
138.0	141.0		Он выполнен еще более того, он автоматически публикуется.
141.0	144.0		Вот, как бы.
144.0	149.0		Мы сэкономили кучу времени, мы сэкономили деньги на дизайне, мы сэкономили деньги на все.
149.0	152.0		Вот, как бы такой момент.
